xpos,value
899,0.337612
900,0.337973
901,0.338334
902,0.338695
903,0.339055
904,0.339416
905,0.339777
906,0.340138
907,0.340498
908,0.340859
909,0.341219
910,0.341580
911,0.341940
912,0.342300
913,0.342661
914,0.343021
915,0.343381
916,0.343741
917,0.344101
918,0.344462
919,0.344821
920,0.345181
921,0.345541
922,0.345901
923,0.346261
924,0.346621
925,0.346980
926,0.347340
927,0.347700
928,0.348059
929,0.348419
930,0.348778
931,0.349138
932,0.349497
933,0.349856
934,0.350215
935,0.350575
936,0.350934
937,0.351293
938,0.351652
939,0.352011
940,0.352370
941,0.352729
942,0.353087
943,0.353446
944,0.353805
945,0.354164
946,0.354522
947,0.354881
948,0.355239
949,0.355598
950,0.355956
951,0.356314
952,0.356673
953,0.357031
954,0.357389
955,0.357747
956,0.358105
957,0.358463
958,0.358821
959,0.359179
960,0.359537
961,0.359895
962,0.360253
963,0.360611
964,0.360968
965,0.361326
966,0.361683
967,0.362041
968,0.362398
969,0.362756
970,0.363113
971,0.363470
972,0.363828
973,0.364185
974,0.364542
975,0.364899
976,0.365256
977,0.365613
978,0.365970
979,0.366327
980,0.366684
981,0.367040
982,0.367397
983,0.367754
984,0.368110
985,0.368467
986,0.368823
987,0.369180
988,0.369536
989,0.369892
990,0.370249
991,0.370605
992,0.370961
993,0.371317
994,0.371673
995,0.372029
996,0.372385
997,0.372741
998,0.373097
999,0.373453
1000,0.373808
1001,0.374164
1002,0.374520
1003,0.374875
1004,0.375231
1005,0.375586
1006,0.375942
1007,0.376297
1008,0.376652
1009,0.377007
1010,0.377363
1011,0.377718
1012,0.378073
1013,0.378428
1014,0.378783
1015,0.379138
1016,0.379492
1017,0.379847
1018,0.380202
1019,0.380557
1020,0.380911
1021,0.381266
1022,0.381620
1023,0.381975
1024,0.382329
1025,0.382683
1026,0.383038
1027,0.383392
1028,0.383746
1029,0.384100
1030,0.384454
1031,0.384808
1032,0.385162
1033,0.385516
1034,0.385870
1035,0.386224
1036,0.386577
1037,0.386931
1038,0.387285
1039,0.387638
1040,0.387992
1041,0.388345
1042,0.388698
1043,0.389052
1044,0.389405
1045,0.389758
1046,0.390111
1047,0.390464
1048,0.390817
1049,0.391170
1050,0.391523
1051,0.391876
1052,0.392229
1053,0.392582
1054,0.392934
1055,0.393287
1056,0.393640
1057,0.393992
1058,0.394344
1059,0.394697
1060,0.395049
1061,0.395401
1062,0.395754
1063,0.396106
1064,0.396458
1065,0.396810
1066,0.397162
1067,0.397514
1068,0.397866
1069,0.398218
1070,0.398569
1071,0.398921
1072,0.399273
1073,0.399624
1074,0.399976
1075,0.400327
1076,0.400679
1077,0.401030
1078,0.401381
1079,0.401732
1080,0.402084
1081,0.402435
1082,0.402786
1083,0.403137
1084,0.403488
1085,0.403838
1086,0.404189
1087,0.404540
1088,0.404891
1089,0.405241
1090,0.405592
1091,0.405942
1092,0.406293
1093,0.406643
1094,0.406994
1095,0.407344
1096,0.407694
1097,0.408044
1098,0.408394
1099,0.408744
1100,0.409094
1101,0.409444
1102,0.409794
1103,0.410144
1104,0.410494
1105,0.410843
1106,0.411193
1107,0.411542
1108,0.411892
1109,0.412241
1110,0.412591
1111,0.412940
1112,0.413289
1113,0.413638
1114,0.413987
1115,0.414336
1116,0.414685
1117,0.415034
1118,0.415383
1119,0.415732
1120,0.416081
1121,0.416430
1122,0.416778
1123,0.417127
1124,0.417475
1125,0.417824
1126,0.418172
1127,0.418520
1128,0.418869
1129,0.419217
1130,0.419565
1131,0.419913
1132,0.420261
1133,0.420609
1134,0.420957
1135,0.421305
1136,0.421653
1137,0.422000
1138,0.422348
1139,0.422695
1140,0.423043
1141,0.423390
1142,0.423738
1143,0.424085
1144,0.424432
1145,0.424780
1146,0.425127
1147,0.425474
1148,0.425821
1149,0.426168
1150,0.426515
1151,0.426862
1152,0.427208
1153,0.427555
1154,0.427902
1155,0.428248
1156,0.428595
1157,0.428941
1158,0.429288
1159,0.429634
1160,0.429980
1161,0.430326
1162,0.430673
1163,0.431019
1164,0.431365
1165,0.431711
1166,0.432057
1167,0.432402
1168,0.432748
1169,0.433094
1170,0.433439
1171,0.433785
1172,0.434131
1173,0.434476
1174,0.434821
1175,0.435167
1176,0.435512
1177,0.435857
1178,0.436202
1179,0.436547
1180,0.436892
1181,0.437237
1182,0.437582
1183,0.437927
1184,0.438272
1185,0.438616
1186,0.438961
1187,0.439305
1188,0.439650
1189,0.439994
1190,0.440339
1191,0.440683
1192,0.441027
1193,0.441371
1194,0.441715
1195,0.442059
1196,0.442403
1197,0.442747
1198,0.443091
1199,0.443435
1200,0.443779
1201,0.444122
1202,0.444466
1203,0.444809
1204,0.445153
1205,0.445496
1206,0.445839
1207,0.446183
1208,0.446526
1209,0.446869
1210,0.447212
1211,0.447555
1212,0.447898
1213,0.448241
1214,0.448583
1215,0.448926
1216,0.449269
1217,0.449611
1218,0.449954
1219,0.450296
1220,0.450639
1221,0.450981
1222,0.451323
1223,0.451665
1224,0.452008
1225,0.452350
1226,0.452692
1227,0.453033
1228,0.453375
1229,0.453717
1230,0.428459
1231,0.428459
1232,0.428459
1233,0.428459
1234,0.428459
1235,0.428459
1236,0.428459
1237,0.428459
1238,0.428459
1239,0.428459
1240,0.428459
1241,0.428459
1242,0.428459
1243,0.428459
1244,0.428459
1245,0.428459
1246,0.428459
1247,0.428459
1248,0.428459
1249,0.428459
1250,0.428459
1251,0.428459
1252,0.428459
1253,0.428459
1254,0.428459
1255,0.428459
1256,0.428459
1257,0.428459
1258,0.428459
1259,0.428459
1260,0.428459
1261,0.428142
1262,0.427826
1263,0.427510
1264,0.427194
1265,0.426877
1266,0.426561
1267,0.426245
1268,0.425929
1269,0.425613
1270,0.425296
1271,0.425187
1272,0.425078
1273,0.424969
1274,0.424860
1275,0.424751
1276,0.424642
1277,0.424533
1278,0.424424
1279,0.424315
1280,0.424206
1281,0.424097
1282,0.423988
1283,0.423879
1284,0.423770
1285,0.423661
1286,0.423552
1287,0.423443
1288,0.423334
1289,0.423225
1290,0.423116
1291,0.423007
1292,0.422898
1293,0.422789
1294,0.422680
1295,0.422571
1296,0.422462
1297,0.422352
1298,0.422243
1299,0.422134
1300,0.421897
1301,0.421660
1302,0.421423
1303,0.421186
1304,0.420949
1305,0.420711
1306,0.420474
1307,0.420237
1308,0.420000
1309,0.419763
1310,0.419526
1311,0.419289
1312,0.419051
1313,0.418814
1314,0.418577
